,Rank,Total,Divestment,Innovation,Curriculum,Research,Campus Engagement,Public Engagement,Air & Climate,Buildings,Energy,Food & Dining,Purchasing,Grounds,Transportation,Water,Waste,Coordination and Planning,Diversity and Affordability,Investment & Finance,Wellbeing & Work
St. Lawrence University,160,52.4,1,1,12.73,5.16,5.71,4.12,4.48,1.29,3.82,0.95,0.42,1.76,1.24,0.7,1.86,1.82,3.48,0,0.86
University of Miami,161,52.23,0,2.5,10.5,2.78,7.47,5.97,4,1.92,2.55,1.07,0.73,1.63,2.9,1.37,1.61,0.89,3.27,0.07,1.01
Carleton College,162,52.23,0,3,10.08,2.94,7.29,4.67,4.82,0.36,3.63,1.57,0.73,1.19,3.04,2.06,1.64,0.79,2.33,0.69,1.41
Lehigh University,163,52.19,0,4,8.96,4.92,6.66,6.05,3.76,1.71,3.01,1.44,0.7,0.35,2.46,0.72,1.94,1.39,3.13,0,0.99
Champlain College,164,52.08,0,3,11.06,0,6.68,2.72,6.12,1.81,2.74,1.02,0.33,0.17,3.64,2.73,3.29,2.27,3.43,0,1.08
University of Denver,165,52.02,0,0,13.26,4.71,4.24,5.92,5.21,1.4,2.68,0.7,0.23,0,2.72,2.74,3.02,2.01,2.44,0,0.73
University of Central Florida,166,51.94,1,1,10.85,1.73,4.81,5.24,4.84,1.64,4.88,0.92,0.68,1.61,2.78,1.58,2.42,1.76,3.02,0.22,0.96
Washington and Lee University,167,51.89,0,3.5,7.3,4.41,5.23,7.77,5.67,0.53,4.51,1.01,0.63,1.15,2.38,1.51,1.78,0.64,2.46,0,1.41
Elon University,168,51.71,1,4,6.68,3.42,7.73,4.84,4.7,1.19,3.66,1.45,0.7,0.75,2.18,0.94,2.21,1.46,3.48,0.09,1.23
Western Technical College,169,51.68,0,0,9.71,0,5.06,6.89,6.61,2.12,5.27,0.91,0.23,0,1.58,3.79,2.65,2.25,2.7,0,1.89
"University of NC, Wilmington",170,51.43,0,0,15.85,1.43,6.9,6.16,5.17,1.33,2.69,0.96,0.23,1.43,1.5,1.39,1.5,2,2.36,0,0.52
Wellesley College,171,51.38,0,0,8.95,4.68,7.34,5.27,3.44,0.49,2.8,1,0.47,2.03,3.2,4.16,0.81,2.05,2.88,0.51,1.32
SUNY at Geneseo,172,51.24,0,1,7.67,4.14,7.37,8.86,2.77,1.26,1.99,1.46,0.88,1.38,2.61,2.15,2.07,2.06,1.96,0.14,1.47
Mills College,173,51.06,0,1,9.98,5.09,9.22,3.04,4.89,0,3.06,1.18,0.53,0,3.1,3.4,2.62,1.11,1.77,0,1.08
Ithaca College,174,51.04,0,0.5,7.03,2.35,7.9,5.93,4.98,1.96,3.9,1.13,0.87,1.21,2.52,1.36,3.05,1.2,3.31,0,1.84
York University,175,50.95,0,4,7.97,4.77,8.41,4.59,0.42,1.26,2.21,1.31,0.61,1.91,3.69,1.38,2.55,2.04,2.24,0.87,0.73
Earlham College,176,50.87,0,0,9.27,3.89,8.61,4.13,2.68,1.16,2.32,0.61,0.33,0,3.37,2.9,2.77,2.15,3.58,0.71,2.4
Eastern Mennonite University,177,50.85,0,3,15.61,3.05,5.32,4.87,4.27,0.58,2.97,0.66,0.33,1.16,1.91,0.35,2.39,0.97,1.63,0.55,1.24
Temple University,178,50.69,1,4,9.15,3.12,5.3,5.53,4.68,1.24,2.39,1.14,0.71,1.04,3.32,0.7,2.83,1.2,2.49,0,0.85
The Ohio State University at Marion,179,50.5,0,2,7.65,3.87,5.01,7.7,3.6,1.34,5.19,0.08,0.72,0,0.71,2.66,3.68,1.09,2.97,0.29,1.95
University of South Florida St. Petersburg,180,50.46,0,0,12.61,5.01,4.87,6.09,4.88,1.36,3.14,0.85,0.87,0.01,2.25,1.36,1.79,1.82,2.12,0.92,0.5
Whitman College,181,50.33,1,1,8.35,5.31,7.05,4.72,3.77,0,5.36,0.72,0.7,0.57,2.36,1.3,1.89,0.89,3.05,0.87,1.4
University of Pittsburgh,182,50.12,1,4,8.13,2.17,5.86,5.07,4.39,1.3,2.68,1.37,0.7,1.14,3.63,0.91,2.09,1.65,2.7,0.33,1
Bryant University,183,50.04,0,3,10,4.63,6.99,5,2.94,0.46,2.01,1.07,0.32,1.85,2.1,2.6,1.71,1.53,2.34,0.03,1.45
San Francisco State University,184,49.84,0,2,12.48,1.69,5.9,3.84,4.6,0,2.72,1.13,0.95,1.13,3.76,1.38,2.49,1.25,2.86,0.85,0.84
Warren Wilson College,185,49.8,0,1,11.18,4.4,6.15,3.69,4.3,1.26,0.16,2.06,0.48,2.31,3.04,1.45,3.37,1.57,2.26,0.69,0.43
Central Michigan University,186,49.71,0,2,10.28,4.84,6.15,5.37,4.66,1.45,2.83,1.02,0.54,1.4,1.75,0.83,1.93,1.49,2.19,0.01,0.99
University of Rochester,187,49.7,0,3,9.39,4.91,9.72,4.86,0.42,1.18,0.44,1.8,0.7,2.01,3.07,2.07,1.43,0.69,2.54,0,1.49
Antioch College,188,49.69,1,4,14.72,4.33,1.11,5.84,0.43,1.53,3.17,2.91,0.67,2.34,1.09,1.19,1.12,0.91,2.65,0,0.69
Guilford College,189,49.59,0,0,7.1,0,6.84,6.58,5.44,1.31,3.19,1.87,0.84,1.43,1.98,3.06,3.65,1.84,2.32,0,2.16
Eastern Connecticut State University,190,49.29,0,2,11.54,4.22,4.7,7.89,4.87,1.12,1.9,1.44,0.51,0.56,0.65,0.16,0.75,1.73,3.58,0,1.66
Southwestern University,191,49.25,0,3,8.05,4.51,2.15,6.41,6,1.21,4.02,1.31,0.09,0.89,1.51,1.72,3.56,1.06,3.1,0,0.64
Villanova University,192,49.04,0,0.5,8.67,4.45,6.38,7.55,3.85,1.06,2.93,1.3,0.5,0.37,1.58,1.37,2.73,1.01,3.36,0.44,0.99
Connecticut College,193,49.01,0,2,10.2,4.91,3.74,4.61,4.5,0.53,3.14,1.07,0.29,1.79,2.68,1.99,2.02,1.24,3.45,0.11,0.72
University of Mount Union,194,48.94,1,0,13.38,2.63,7.78,6.46,2.71,0.57,3.01,0.57,0.77,1.15,1.91,0.5,1.55,1.98,1.74,0.07,1.15
Johnson County Community College,195,48.89,0,4,11.18,1.77,6.87,5.18,2.74,1.41,4.12,1.08,0.64,0.58,1.29,1.38,2.52,0.83,2.39,0.17,0.73
"California State University, San Marcos",196,48.75,0,4,6.93,4.54,4.83,6.88,4.16,2.05,2.65,0.57,1.04,0.57,2.33,0.74,2.05,1.71,2.46,0,1.24
College of Lake County,197,48.57,0,2,13.25,0,7,6.78,2.29,1.53,3.05,1.24,0.67,1.83,1.3,1.49,0.86,1.86,2.21,0,1.24
University of Wisconsin-Stout,198,48.55,0,0,13.66,2.79,4.94,7.96,3.23,1.09,0.79,0.37,0.49,0.58,2.08,2.15,2.09,1.8,3.36,0,1.17
Saint Mary's College of California,199,48.45,0,0,8.54,2.56,6.32,6.05,5.89,0,1.37,1.75,0.58,1.18,1.15,3.05,2.24,2.02,3.12,0.07,2.53
Westminster College - Utah,200,48.36,0,0,9.59,3.42,7.02,4.66,3.4,1.36,1.59,1.35,0.51,1.7,1.93,4.45,1.76,1.93,3.08,0,0.65
Onondaga Community College,201,48.32,0,4,7.35,0,5.39,6.12,7.17,1.12,3.97,0,0.36,0.94,1.36,1.49,3.12,2.21,2.92,0.14,0.65
Indiana State University,202,48.26,0,0,7.93,3.84,5.29,6.82,4.16,1.18,2.32,1.13,0.38,0.58,1.33,4.15,3.04,1.41,3.24,0.07,1.38
Cleveland State University,203,48.22,0,0,8.67,3.33,6.23,3.85,4.52,1.08,4.31,0.99,0.82,0.57,1.87,3.89,2.32,1.45,2.45,0.22,1.66
Baylor University,204,48.22,1,1,10.98,2.88,7.84,7.2,2.41,0,2.14,1.29,0.06,0,1.77,2.61,2.53,1.65,1.79,0.03,1.05
The Ohio State University at Newark,205,48.21,0,3,5.65,5.03,3.55,7.69,3.45,1.34,4.64,0,0.86,0,0.99,3.7,2.2,1.09,3.08,0.22,1.73
Florida International University,206,48.13,0,4,6.18,5.32,5.33,6.93,3.39,1.18,2.59,0.64,0.36,1.71,2.92,1.4,1.44,1.14,2.81,0,0.77
Beloit College,207,48.12,0,1,11.57,5.37,6.84,4.25,3.3,0,3.31,1.17,0.31,1.17,2.74,0.35,1.68,1.11,2.99,0,1
Illinois State University,208,47.97,1,0,11.56,5.19,5.05,4.89,3.37,0.74,2.1,0.39,0.3,0.6,2.56,2.27,2.29,1.77,2.44,0,1.47
Sewanee - The University of the South,209,47.68,0,0,10.41,4.72,3.98,3.47,4.6,0.51,4.09,2.1,0.4,1.15,1.96,3.34,0.58,2.04,2.74,0,1.6
Sheridan College (Ontario),210,47.67,0,4,9.78,4.02,4.21,5.8,3.88,1.89,1.07,0.58,0.55,1.16,2.65,1.05,1.87,1.6,2.46,0,1.1
Calvin College,211,47.57,0,0.5,10.17,3.97,7.63,4.7,3.74,0,3.76,0.75,0.19,1.2,2.61,1.45,1.81,0.4,3.01,0,1.68
Carleton University,212,47.52,0,3,9.06,5.97,5.96,2.74,3.62,2.13,1.84,0.81,0.32,0.59,2.05,0.43,3.49,2.11,2.21,0,1.18
Coastal Carolina University,213,47.42,0,1,7.33,2.93,8.78,4.57,1.05,1.45,4.82,0.92,0.71,2.21,1.61,1.93,2.3,1.5,2.36,0,1.95
Williams College,214,47.41,0,2,8.65,2.84,5.18,4.49,3.68,0.98,2.61,0.99,0.06,2.1,3.11,2.4,1.75,1.02,3.74,0.61,1.18
Black Hills State University,215,47.29,0,4,9.14,4.22,5.31,5.55,3.27,0.39,3.13,0.85,0.97,0,1.7,3.76,2.12,1.33,0.96,0,0.6
College of William & Mary,216,46.87,0,3.5,7.72,4.63,5.39,4.59,1.65,0.29,2.21,1.22,0.75,1.13,2.51,3.8,1.94,0.63,3.65,0.03,1.22
Hope College,217,46.76,0,0,7.78,5.79,6.77,7.22,3.54,0.65,1.62,0.7,0.36,2.05,2.84,0.71,1.89,1.3,2.4,0,1.17
Selkirk College,218,46.69,0,3,7.01,4.79,4.67,6.66,8.18,0.69,2.63,0,0.17,0.6,0.85,0,2.15,1.72,1.91,0,1.66
Stevens Institute of Technology,219,46.54,0,4,7.61,5.14,4.12,4.47,4.68,0,2.21,1.11,0.41,0.52,2.08,3.54,1.62,1.36,2.1,0,1.56
The Ohio State University at Mansfield,220,46.54,0,3,7.76,3.63,3.91,7.47,3.61,1.34,5.19,0.14,0.81,1.02,0.64,1.46,0.54,1.09,3.33,0.29,1.29
University of Wisconsin-Platteville,221,46.44,0,1,9.91,2.94,5.79,5.46,2.45,0.72,4.33,0.93,0.67,1.14,2.7,1.82,2.28,1.01,2.38,0,0.91
"California State University, Long Beach",222,45.65,0,4,7.11,2.41,3.87,4.99,4.88,1.32,2.43,1.32,0.45,0,2.89,2.01,2.51,1.7,3.03,0.07,0.66
Knox College,223,45.13,0,0.5,8.59,2.98,8.34,3.77,0,1.05,4.06,1.12,0.3,1.08,3,2.54,2.33,0.86,3.09,0.46,1.04
Maryville College,224,45.04,0,1,11.28,4.36,7.73,6.73,0.43,1.41,1.73,0.67,0.18,0,0.69,0,1.76,2.09,3.25,0,1.73
Central New Mexico Community College,225,44.92,0,1,10.04,0,5.24,6.87,4.2,1.95,1.57,0.1,0.4,0.64,1.13,3.08,3.01,1.79,1.92,0,1.96
LIU Post,226,44.82,0,3,7.9,1.9,9.15,4.06,3.83,0.46,1.81,0.66,0.23,0.77,0.94,3.55,2.08,1.77,2.02,0,0.69
University of West Georgia,227,44.8,0,0.5,10.33,3.44,5.71,4.77,3.91,1.22,2.48,0.43,0.71,1.15,1.57,1.31,1.55,1.66,2.57,0.22,1.27
"California State University, Fullerton",228,44.43,0,4,6.86,3.97,3.57,6.11,3.62,1.76,0.16,1.8,0.75,1.61,2.18,1.35,1.7,1.25,3.03,0,0.72
Frostburg State University,229,44.23,0,0,11.88,4.68,4.5,3.12,3.81,1.16,0.89,0.58,0.82,1.38,1.54,1.38,2.67,1.96,3.43,0.07,0.36
The Ohio State University at Lima,230,44.23,0,3,6.59,4.2,7.09,8.29,2,1.34,2.26,0.14,0.92,0,0.64,0.77,1.03,1.09,2.97,0.29,1.6
Pittsburg State University,231,44.17,0,1,9.15,3.82,6.27,5.23,3.36,1.14,2.47,0.57,0.36,0.71,1.88,1.55,2.65,1.52,1.82,0,0.68
"CA State Polytechnic University, Pomona",232,43.67,0,1.5,9.41,4.2,7.77,6.55,1.44,1.21,1.42,0.78,0.18,1.15,1.99,1.34,1.83,1,1.56,0,0.36
Southern Illinois University Edwardsville,233,43.27,0,3,12.03,4.64,6.84,3.67,0,1.42,0,0.77,0.4,1.15,0.46,1.39,0.51,2.05,2.87,0.22,1.83
University of Montana,234,43.24,0,0.5,6.73,2.01,6.39,6.22,3.54,1.2,4.98,0,0.42,1.16,2.92,0.34,1.95,0.63,3.11,0,1.12
Soka University of America,235,43.14,0,0,11.92,5.94,2.16,4.97,4.72,0,2.98,1.25,0.45,0,1.62,1.43,1.79,0.47,2.03,0,1.4
South Seattle College,236,43.09,0,2.5,6.78,0,3.57,4.44,5.62,1.44,3.12,0.94,1.1,0.66,3.24,1.5,3.03,1.53,2.48,0,1.17
University of Wisconsin-Whitewater,237,43.04,0,0,4.95,3.09,6.09,5.04,4.47,1.84,1.57,0.96,0.8,0.93,2.69,1.36,2.38,1.51,3.43,0.48,1.48
University of Texas at Arlington,238,42.78,0,3,11.54,3.61,6.49,6.26,0,1.81,2.01,0,0.23,0,1.27,1.38,1.35,1.02,2.45,0,0.36
University of Wisconsin-Green Bay,239,42.74,0,1,9.09,5.59,4.96,2.18,0.41,0.68,4.01,1.29,0.91,1.7,1.27,3.96,0.91,1.2,2.74,0,0.83
State University of New York at Oneonta,240,42.56,0,1.5,8.93,4.92,5.95,2.79,1.58,1.43,2.29,1.13,1.06,1.13,1.3,1.2,1.79,1.57,3.21,0,0.76
Gonzaga University,241,42.09,0,0,6.32,2.69,5.31,4.73,4.03,0.06,3.61,0.77,0.35,0,1.81,2.05,3.32,2.03,3.67,0.07,1.26
Weber State University,242,42,1,0,8.14,3.28,5.18,3.53,5.47,0.77,3.89,0.54,0.05,0.57,1.57,1.43,1.86,1.27,2.63,0,0.82
Lawrence University,243,41.58,0,0,6.62,3.11,5.11,4.71,1.2,1.52,4.52,1.36,0.92,0.37,2.59,1.76,2.04,0.89,2.86,0,2.01
Eastern Kentucky University,244,41.06,1,0,3.47,0,7.22,2.66,4.57,1.14,2.66,0.99,0.99,1.13,2.44,4.76,3.39,1.01,2.45,0,1.17
Transylvania University,245,41.05,0,0,5.01,1.6,8.85,4.71,4.5,0.71,4.69,0.59,0.12,0,2.93,2.83,0.52,0.98,2.41,0,0.61
Seattle Central College,246,40.86,0,2,7.67,0,3.83,3.11,4.39,1.44,2.73,0.78,1.18,0,3.94,2.93,0.93,1.6,3.17,0,1.17
Harvey Mudd College,247,40.55,0,1.5,8.32,5.09,5.36,5.37,0,1.06,1.55,0.81,0.27,0,3.46,1.55,2.92,0.52,1.95,0.45,0.37
Creighton University,248,40.2,0,1,7.09,1.56,5.34,6.07,3.72,0.62,3.58,0.83,0.44,0.57,2.18,0.92,1.58,1.15,2.46,0.07,1.02
SUNY at Fredonia,249,39.61,0,2.5,6.33,2.6,4.57,5.17,5.4,0.65,2.36,1.08,0.45,0,1.12,0.35,1.29,1.1,2.79,0.22,1.66
East Carolina University,250,39.29,1,0.5,8.48,4.45,3.2,3.74,2.49,0.86,1.99,0.57,0.87,0,2.88,0.63,2.03,1.34,3.12,0,1.12
Florida Institute of Technology,251,38.18,0,0,11.1,4.93,3.92,4.51,0,0.1,4.75,0,0.34,0.32,2.11,1.29,1.87,1.01,1.34,0,0.57
West Chester University of PA,252,37.34,0,0,8.06,1.52,2.17,4.96,4.3,1.06,3.11,1.65,0.38,1.14,1.73,0.68,1.52,1.2,2.63,0,1.24
Tennessee Technological University,253,36.68,1,0.5,6.76,3.21,3.54,6.12,4.05,1.16,2.21,0.87,0.03,0,0.48,3.01,0.76,0.58,2.05,0,0.37
Texas Tech University,254,36.47,0,3.5,9.03,2.98,5.18,3.05,0.41,0.55,2.27,0.56,0.2,1.57,1.2,1.12,1.8,0.63,2.08,0,0.36
Western State Colorado University,255,35.41,0,0,8.94,2.98,4.78,4.05,5.77,1.26,0.32,0.75,0.43,0,1.08,0,1.68,1.45,1.32,0,0.6
"University of NC, Pembroke",256,35.3,0,0,10.36,1.35,5.31,2.72,4.2,0.05,1.65,0.64,0.06,0,2.23,0.16,1.95,1.97,1.85,0,0.81
Saint Louis University,257,35.06,0,0,4.78,2.16,6.23,4.47,2.6,0,2.38,1.18,0.37,0.12,2.36,2.22,1.49,0.65,3.3,0,0.75
Austin College,258,34.4,0,0,8.49,2.24,2.45,1.97,6.52,1.16,4.77,0.58,0,1.74,2.44,0.58,0,0.71,0.65,0,0.12
Northern Michigan University,259,34.11,0,2,4.74,4.71,4.85,4.99,0.42,0.69,2.95,0.79,0.4,0.53,1.42,1.6,0.69,0.51,2.28,0,0.54
Susquehanna University,260,34.08,0,0,6.31,2.88,3.59,4.82,4.11,0.44,3.27,0.82,0.18,0.59,0.82,0.03,1.23,1.05,3.14,0,0.81
Messiah College,261,31.62,0,1,6.95,0.76,2.42,4.68,4.64,0,3.78,0.86,0.26,0.02,0.99,1.01,1.07,0.89,1.47,0.07,0.73
Whatcom Community College,262,31.47,0,0.5,13,0,1.97,1.57,5.12,1.2,0,0.47,0.18,0.63,2,0.38,2.45,0.28,0.6,0,1.11
Ringling College of Art and Design,263,31.24,0,0,9.67,0,7.53,4.76,0,0,0,1,0.25,1.84,1.94,1.47,0.53,0.48,1.38,0,0.39
Sonoma State University,264,31.22,0,0,9.39,3.82,7.05,3.34,0,0.3,0,0.34,0,1.76,0.63,0,0,0.89,3.04,0,0.67
Georgia College & State University,265,30.03,0,0,6,3.1,6.14,2.1,3.87,0.94,0,0.96,0,0.79,2.75,0,1.5,0.94,0.82,0,0.12
The University of Texas at Dallas,266,29.09,0,0,3.78,3.07,5.32,1.88,0.42,0.59,1.23,0.93,0.43,0.59,1.86,2.1,2.44,1.36,2.14,0,0.95
Metropolitan Community College,267,28.95,0,0,4.23,0,3.01,5.84,2.75,0.9,1.95,0.4,0.13,0.02,1.13,2.96,2.11,1.05,1.72,0,0.72
Juniata College,268,23.54,0,0,6.91,3.22,3.15,1.51,0,0.05,2.31,0.57,0,0,0.81,1.37,0,0.89,1.63,0,1.1
